22:02:37 03-16-2017	 INFO		 Gui.MainGuiController 	Inventory retrieved from database successfully.
22:04:57 03-16-2017	 INFO		 Gui.MainGuiController 	Inventory retrieved from database successfully.
22:05:44 03-16-2017	 INFO		 Gui.MainGuiController 	Inventory retrieved from database successfully.
22:06:15 03-16-2017	 INFO		 Gui.MainGuiController 	Inventory retrieved from database successfully.
22:09:19 03-16-2017	 INFO		 Gui.MainGuiController 	Inventory retrieved from database successfully.
22:11:09 03-16-2017	 INFO		 Gui.MainGuiController 	Inventory retrieved from database successfully.
22:11:34 03-16-2017	 INFO		 Gui.MainGuiController 	Inventory retrieved from database successfully.
22:23:12 03-16-2017	 INFO		 Gui.MainGuiController 	User logout.
22:23:12 03-16-2017	 INFO		 Gui.LoginController 	admin logged in successfully.
22:23:53 03-16-2017	 INFO		 Gui.MainGuiController 	Inventory retrieved from database successfully.
22:24:38 03-16-2017	 INFO		 Gui.MainGuiController 	User logout.
22:24:38 03-16-2017	 INFO		 Gui.LoginController 	admin logged in successfully.
22:24:45 03-16-2017	 INFO		 Gui.MainGuiController 	Inventory retrieved from database successfully.
22:25:56 03-16-2017	 INFO		 Gui.MainGuiController 	Inventory retrieved from database successfully.
17:08:22 03-17-2017	 INFO		 Gui.LoginController 	admin logged in successfully.
17:03:10 12-08-2017	 INFO		 Gui.MainGuiController 	Inventory retrieved from database successfully.
17:28:32 12-08-2017	 ERROR		 Utilities.BusinessProperties 	Line FileInputStream.java FILE FileInputStream.java custom\properties.txt (The system cannot find the file specified).
17:29:16 12-08-2017	 ERROR		 Utilities.BusinessProperties 	Line FileInputStream.java FILE FileInputStream.java custom\properties.txt (The system cannot find the file specified).
17:30:08 12-08-2017	 ERROR		 Utilities.BusinessProperties 	Line FileInputStream.java FILE FileInputStream.java custom\properties.txt (The system cannot find the file specified).
17:36:35 12-08-2017	 ERROR		 Utilities.BusinessProperties 	Line FileInputStream.java FILE FileInputStream.java custom\properties.txt (The system cannot find the file specified).
17:36:50 12-08-2017	 ERROR		 Utilities.BusinessProperties 	Line FileInputStream.java FILE FileInputStream.java custom\properties.txt (The system cannot find the file specified).
17:37:22 12-08-2017	 ERROR		 Utilities.BusinessProperties 	Line FileInputStream.java FILE FileInputStream.java custom\properties.txt (The system cannot find the file specified).
17:37:27 12-08-2017	 ERROR		 Utilities.BusinessProperties 	Line FileInputStream.java FILE FileInputStream.java custom\properties.txt (The system cannot find the file specified).
17:40:41 12-08-2017	 FATAL_ERROR		 Database.SqliteConnection 	Line CoreConnection.java FILE CoreConnection.java opening db: '"C:UserswilraDropboxArteDeJesusbinArteDeJesus.sqlite"': The filename, directory name, or volume label syntax is incorrect  Could not connect to database!.
17:40:41 12-08-2017	 ERROR		 Database.UserInfo 	Line UserInfo.java FILE UserInfo.java null Could not verify user admin.
17:42:48 12-08-2017	 ERROR		 Database.UserInfo 	Line DB.java FILE DB.java [SQLITE_ERROR] SQL error or missing database (no such table: USER_INFO) Could not verify user admin.
17:42:58 12-08-2017	 ERROR		 Database.UserInfo 	Line DB.java FILE DB.java [SQLITE_ERROR] SQL error or missing database (no such table: USER_INFO) Could not verify user admin.
17:43:06 12-08-2017	 ERROR		 Database.UserInfo 	Line DB.java FILE DB.java [SQLITE_ERROR] SQL error or missing database (no such table: USER_INFO) Could not verify user admin.
17:44:39 12-08-2017	 ERROR		 Database.UserInfo 	Line DB.java FILE DB.java [SQLITE_ERROR] SQL error or missing database (no such table: USER_INFO) Could not verify user admin.
17:44:41 12-08-2017	 ERROR		 Database.UserInfo 	Line DB.java FILE DB.java [SQLITE_ERROR] SQL error or missing database (no such table: USER_INFO) Could not verify user admin.
17:45:48 12-08-2017	 ERROR		 Database.UserInfo 	Line DB.java FILE DB.java [SQLITE_ERROR] SQL error or missing database (no such table: USER_INFO) Could not verify user admin.
17:52:37 12-08-2017	 INFO		 Gui.MainGuiController 	Inventory retrieved from database successfully.
17:52:45 12-08-2017	 INFO		 Gui.LoginController 	admin logged in successfully.
11:09:39 12-22-2017	 INFO		 Gui.MainGuiController 	Inventory retrieved from database successfully.
11:11:19 12-22-2017	 ERROR		 Database.InventoryLoader 	Line DB.java FILE DB.java [SQLITE_BUSY]  The database file is locked (database is locked).
11:11:19 12-22-2017	 INFO		 Gui.MainGuiController 	Inventory retrieved from database successfully.
11:11:22 12-22-2017	 ERROR		 Database.TransactionInfoLoader 	Line DB.java FILE DB.java [SQLITE_BUSY]  The database file is locked (database is locked).
11:12:28 12-22-2017	 INFO		 Gui.LoginController 	admin logged in successfully.
11:12:45 12-22-2017	 INFO		 Gui.MainGuiController 	Inventory retrieved from database successfully.
11:15:31 12-22-2017	 INFO		 Gui.MainGuiController 	Inventory retrieved from database successfully.
11:23:15 12-22-2017	 INFO		 Gui.MainGuiController 	Inventory retrieved from database successfully.
11:33:27 12-22-2017	 INFO		 Gui.LoginController 	admin logged in successfully.
